Wall time,Step,Value
1666497574.638417,141120,-15120.373046875
1666497627.1945589,141840,-4680.89990234375
1666497682.0218177,142560,-10010.720703125
1666497735.0222802,143280,-6151.1083984375
1666497790.275729,144000,-9927.0546875
1666497845.4891222,144720,-9580.166015625
1666497900.2619617,145440,-9417.9130859375
1666497952.2382362,146160,-5082.7724609375
1666498007.337437,146880,-9188.7373046875
1666498061.688541,147600,-9453.693359375
1666498115.8858542,148320,-8143.3486328125
1666498172.703741,149040,-12282.47265625
1666498228.458291,149760,-10936.4384765625
1666498285.686532,150480,-14323.4384765625
1666498337.7866595,151200,-4797.71826171875
1666498393.0121777,151920,-11003.923828125
1666498444.6088874,152640,-3801.29443359375
1666498499.2115803,153360,-10438.15234375
1666498551.4398062,154080,-5242.8154296875
1666498604.8963602,154800,-6331.9052734375
1666498661.185955,155520,-11034.197265625
1666498713.3320231,156240,-5306.52490234375
1666498765.8185003,156960,-5255.53955078125
1666498821.2379727,157680,-11111.4345703125
1666498874.8450806,158400,-7916.22021484375
1666498928.9123738,159120,-9124.474609375
1666498981.3957567,159840,-5322.60400390625
1666499032.912033,160560,-3987.962890625
1666499084.7144778,161280,-4117.36181640625
1666499137.894902,162000,-7701.8583984375
1666499192.353752,162720,-8789.8896484375
1666499247.0824823,163440,-9408.576171875
1666499303.7816646,164160,-13510.169921875
1666499356.763114,164880,-6072.412109375
1666499409.04155,165600,-5370.064453125
1666499461.531359,166320,-6005.927734375
1666499514.6527917,167040,-5589.0966796875
1666499569.6621318,167760,-9566.3515625
1666499624.0494847,168480,-8675.44140625
1666499677.8334837,169200,-7730.291015625
1666499731.1952481,169920,-6075.78271484375
1666499785.7605393,170640,-8872.5791015625
1666499840.9564493,171360,-9561.2451171875
1666499894.5205593,172080,-8077.01416015625
1666499950.1445653,172800,-10827.4521484375
1666500004.1349804,173520,-8487.2919921875
1666500058.894884,174240,-10098.1337890625
1666500118.0883474,174960,-18125.115234375
1666500170.7432883,175680,-6861.3427734375
1666500222.67717,176400,-4757.91552734375
1666500274.127461,177120,-3492.605224609375
1666500327.090809,177840,-6836.86181640625
1666500383.3269656,178560,-10987.7587890625
1666500435.8533664,179280,-6144.96435546875
1666500490.4276557,180000,-10138.3564453125
1666500545.3425882,180720,-9017.3984375
1666500600.3107321,181440,-9653.0751953125
1666500653.6140544,182160,-7019.3544921875
1666500708.9049206,182880,-9156.162109375
1666500760.8389876,183600,-5599.1748046875
1666500815.678897,184320,-11677.1416015625
1666500870.3304644,185040,-9412.416015625
1666500925.173151,185760,-9416.87109375
1666500977.6540327,186480,-5985.005859375
1666501036.9133854,187200,-17160.291015625
1666501089.6545625,187920,-5960.62548828125
1666501145.1644619,188640,-11834.232421875
1666501200.3844786,189360,-10876.9091796875
1666501253.724928,190080,-5532.400390625
1666501306.8286147,190800,-7321.98583984375
1666501362.7531726,191520,-11861.9814453125
1666501418.609221,192240,-11585.7333984375
1666501472.0116873,192960,-7223.71240234375
1666501527.1515129,193680,-10833.9384765625
1666501580.6060295,194400,-7086.76416015625
1666501632.939295,195120,-6148.48681640625
1666501688.5337434,195840,-10911.1298828125
1666501740.87695,196560,-5862.9775390625
1666501795.5165772,197280,-11616.7412109375
1666501850.5934033,198000,-10627.1923828125
1666501904.3369632,198720,-7693.4248046875
1666501957.3781555,199440,-5931.357421875
1666502011.470994,200160,-9941.50390625
1666502067.6863456,200880,-10222.5205078125
1666502121.2122235,201600,-8343.7626953125
1666502173.7672312,202320,-5055.04345703125
1666502226.9139793,203040,-6374.9248046875
1666502282.9145126,203760,-12179.1025390625
1666502337.8487892,204480,-11942.875
1666502393.307864,205200,-12025.2060546875
1666502448.2000403,205920,-9636.630859375
1666502503.2060587,206640,-9956.0302734375
1666502556.9658012,207360,-8222.3876953125
1666502613.048568,208080,-13242.1513671875
1666502668.528307,208800,-10992.17578125
1666502721.5526977,209520,-6594.89501953125
1666502774.2872953,210240,-7381.90185546875
1666502826.8926353,210960,-6291.62548828125
1666502881.858444,211680,-9690.28515625
1666502935.7905877,212400,-8520.212890625
1666502991.1085763,213120,-11319.7109375
1666503046.3212676,213840,-11434.6279296875
1666503104.7665184,214560,-15960.2666015625
1666503164.3204648,215280,-17400.05859375
1666503219.3892062,216000,-11464.87109375
1666503273.514786,216720,-8731.40625
1666503328.9569752,217440,-10816.1015625
1666503385.1438117,218160,-12167.50390625
1666503439.6312692,218880,-11036.0380859375
1666503491.588216,219600,-4670.49658203125
1666503545.1008174,220320,-7234.8046875
1666503603.9698195,221040,-15734.9384765625
1666503659.5439174,221760,-10711.876953125
1666503718.8244421,222480,-17799.509765625
1666503775.532148,223200,-13110.69140625
1666503831.6769447,223920,-12755.6650390625
1666503886.5975823,224640,-11707.6298828125
1666503943.0756216,225360,-11865.1357421875
1666503996.0632956,226080,-7560.5693359375
1666504048.6758466,226800,-5403.26171875
1666504102.5673084,227520,-7265.27490234375
1666504157.847149,228240,-11370.818359375
1666504212.6782577,228960,-9135.9248046875
1666504266.278035,229680,-7594.18408203125
